Data;Hora;Sensor;ConsumoWH
01/01/2025;5,33;Quarto 01;8000,00
02/01/2025;10,77;Quarto 01;16150,00
03/01/2025;16,68;Quarto 01;25025,00
04/01/2025;5,18;Quarto 01;7775,00
05/01/2025;13,42;Quarto 01;20125,00
06/01/2025;10,27;Quarto 01;15400,00
07/01/2025;12,53;Quarto 01;18800,00
08/01/2025;4,52;Quarto 01;6775,00
09/01/2025;14,78;Quarto 01;22175,00
10/01/2025;16,48;Quarto 01;24725,00
11/01/2025;6,58;Quarto 01;9875,00
12/01/2025;14,82;Quarto 01;22225,00
13/01/2025;18,28;Quarto 01;27425,00
14/01/2025;18,72;Quarto 01;28075,00
15/01/2025;14,55;Quarto 01;21825,00
16/01/2025;1,67;Quarto 01;2500,00
17/01/2025;3,03;Quarto 01;4550,00
18/01/2025;4,02;Quarto 01;6025,00
19/01/2025;12,72;Quarto 01;19075,00
20/01/2025;13,68;Quarto 01;20525,00
21/01/2025;9,12;Quarto 01;13675,00
22/01/2025;6,42;Quarto 01;9625,00
23/01/2025;15,62;Quarto 01;23425,00
24/01/2025;5,05;Quarto 01;7575,00
25/01/2025;15,73;Quarto 01;23600,00
26/01/2025;17,78;Quarto 01;26675,00
27/01/2025;8,72;Quarto 01;13075,00
28/01/2025;7,17;Quarto 01;10750,00
29/01/2025;9,27;Quarto 01;13900,00
30/01/2025;14,90;Quarto 01;22350,00
31/01/2025;16,85;Quarto 01;25275,00
01/02/2025;17,93;Quarto 01;26900,00
02/02/2025;14,47;Quarto 01;21700,00
03/02/2025;18,90;Quarto 01;28350,00
04/02/2025;11,95;Quarto 01;17925,00
05/02/2025;10,37;Quarto 01;15550,00
06/02/2025;1,03;Quarto 01;1550,00
07/02/2025;0,00;Quarto 01;0,00
08/02/2025;0,00;Quarto 01;0,00
09/02/2025;1,28;Quarto 01;1925,00
10/02/2025;9,38;Quarto 01;14075,00
11/02/2025;4,22;Quarto 01;6325,00
12/02/2025;3,70;Quarto 01;5550,00
13/02/2025;11,63;Quarto 01;17450,00
14/02/2025;20,07;Quarto 01;30100,00
15/02/2025;7,32;Quarto 01;10975,00
16/02/2025;12,57;Quarto 01;18850,00
17/02/2025;14,82;Quarto 01;22225,00
18/02/2025;13,70;Quarto 01;20550,00
19/02/2025;16,82;Quarto 01;25225,00
20/02/2025;5,22;Quarto 01;7825,00
21/02/2025;9,35;Quarto 01;14025,00
22/02/2025;3,08;Quarto 01;4625,00
23/02/2025;19,77;Quarto 01;29650,00
24/02/2025;12,07;Quarto 01;18100,00
25/02/2025;4,83;Quarto 01;7250,00
26/02/2025;6,85;Quarto 01;10275,00
27/02/2025;6,22;Quarto 01;9325,00
28/02/2025;13,20;Quarto 01;19800,00
01/03/2025;5,32;Quarto 01;7975,00
02/03/2025;20,82;Quarto 01;31225,00
03/03/2025;8,82;Quarto 01;13225,00
04/03/2025;4,63;Quarto 01;6950,00
05/03/2025;9,83;Quarto 01;14750,00
06/03/2025;7,73;Quarto 01;11600,00
07/03/2025;9,55;Quarto 01;14325,00
08/03/2025;13,93;Quarto 01;20900,00
09/03/2025;2,73;Quarto 01;4100,00
10/03/2025;16,35;Quarto 01;24525,00
11/03/2025;17,83;Quarto 01;26750,00
12/03/2025;2,48;Quarto 01;3725,00
13/03/2025;12,00;Quarto 01;18000,00
14/03/2025;2,78;Quarto 01;4175,00
15/03/2025;22,08;Quarto 01;33125,00
16/03/2025;15,10;Quarto 01;22650,00
17/03/2025;6,70;Quarto 01;10050,00
18/03/2025;8,45;Quarto 01;12675,00
19/03/2025;10,70;Quarto 01;16050,00
20/03/2025;4,68;Quarto 01;7025,00
21/03/2025;2,92;Quarto 01;4375,00
22/03/2025;17,60;Quarto 01;26400,00
23/03/2025;9,17;Quarto 01;13750,00
24/03/2025;17,48;Quarto 01;26225,00
25/03/2025;6,55;Quarto 01;9825,00
26/03/2025;10,42;Quarto 01;15625,00
27/03/2025;18,00;Quarto 01;27000,00
28/03/2025;9,45;Quarto 01;14175,00
29/03/2025;1,07;Quarto 01;1600,00
30/03/2025;14,77;Quarto 01;22150,00
31/03/2025;15,60;Quarto 01;23400,00
01/04/2025;6,02;Quarto 01;9025,00
02/04/2025;16,02;Quarto 01;24025,00
03/04/2025;2,20;Quarto 01;3300,00
04/04/2025;6,30;Quarto 01;9450,00
05/04/2025;16,27;Quarto 01;24400,00
06/04/2025;16,28;Quarto 01;24425,00
07/04/2025;18,52;Quarto 01;27775,00
08/04/2025;10,55;Quarto 01;15825,00
09/04/2025;11,08;Quarto 01;16625,00
10/04/2025;13,18;Quarto 01;19775,00
11/04/2025;14,67;Quarto 01;22000,00
12/04/2025;11,40;Quarto 01;17100,00
13/04/2025;7,40;Quarto 01;11100,00
14/04/2025;4,88;Quarto 01;7325,00
15/04/2025;7,83;Quarto 01;11750,00
16/04/2025;12,43;Quarto 01;18650,00
17/04/2025;6,22;Quarto 01;9325,00
18/04/2025;6,90;Quarto 01;10350,00
19/04/2025;7,20;Quarto 01;10800,00
20/04/2025;8,23;Quarto 01;12350,00
21/04/2025;9,67;Quarto 01;14500,00
22/04/2025;1,87;Quarto 01;2800,00
23/04/2025;14,13;Quarto 01;21200,00
24/04/2025;12,13;Quarto 01;18200,00
25/04/2025;8,87;Quarto 01;13300,00
26/04/2025;14,08;Quarto 01;21125,00
27/04/2025;11,60;Quarto 01;17400,00
28/04/2025;11,50;Quarto 01;17250,00
29/04/2025;4,57;Quarto 01;6850,00
30/04/2025;7,08;Quarto 01;10625,00
01/05/2025;6,65;Quarto 01;9975,00
02/05/2025;12,17;Quarto 01;18250,00
03/05/2025;2,37;Quarto 01;3550,00
04/05/2025;8,58;Quarto 01;12875,00
05/05/2025;6,63;Quarto 01;9950,00
06/05/2025;16,63;Quarto 01;24950,00
07/05/2025;14,83;Quarto 01;22250,00
08/05/2025;18,65;Quarto 01;27975,00
09/05/2025;6,97;Quarto 01;10450,00
10/05/2025;21,38;Quarto 01;32075,00
11/05/2025;11,85;Quarto 01;17775,00
12/05/2025;5,10;Quarto 01;7650,00
13/05/2025;15,92;Quarto 01;23875,00
14/05/2025;8,95;Quarto 01;13425,00
15/05/2025;0,00;Quarto 01;0,00
16/05/2025;19,40;Quarto 01;29100,00
17/05/2025;7,82;Quarto 01;11725,00
18/05/2025;6,33;Quarto 01;9500,00
19/05/2025;2,03;Quarto 01;3050,00
20/05/2025;8,15;Quarto 01;12225,00
21/05/2025;11,33;Quarto 01;17000,00
22/05/2025;8,72;Quarto 01;13075,00
23/05/2025;6,03;Quarto 01;9050,00
24/05/2025;8,87;Quarto 01;13300,00
25/05/2025;19,05;Quarto 01;28575,00
26/05/2025;15,38;Quarto 01;23075,00
27/05/2025;9,98;Quarto 01;14975,00
28/05/2025;1,47;Quarto 01;2200,00
29/05/2025;5,63;Quarto 01;8450,00
30/05/2025;17,17;Quarto 01;25750,00
31/05/2025;19,82;Quarto 01;29725,00
01/06/2025;2,52;Quarto 01;3775,00
02/06/2025;11,82;Quarto 01;17725,00
03/06/2025;8,32;Quarto 01;12475,00
04/06/2025;4,82;Quarto 01;7225,00
05/06/2025;9,05;Quarto 01;13575,00
06/06/2025;2,87;Quarto 01;4300,00
07/06/2025;6,80;Quarto 01;10200,00
08/06/2025;2,52;Quarto 01;3775,00
09/06/2025;16,10;Quarto 01;24150,00
10/06/2025;6,03;Quarto 01;9050,00
11/06/2025;11,43;Quarto 01;17150,00
12/06/2025;13,12;Quarto 01;19675,00
13/06/2025;21,97;Quarto 01;32950,00
14/06/2025;9,73;Quarto 01;14600,00
15/06/2025;0,00;Quarto 01;0,00
16/06/2025;15,83;Quarto 01;23750,00
17/06/2025;16,18;Quarto 01;24275,00
18/06/2025;15,90;Quarto 01;23850,00
19/06/2025;15,13;Quarto 01;22700,00
20/06/2025;22,42;Quarto 01;33625,00
21/06/2025;2,07;Quarto 01;3100,00
22/06/2025;2,68;Quarto 01;4025,00
23/06/2025;12,43;Quarto 01;18650,00
24/06/2025;0,98;Quarto 01;1475,00
25/06/2025;16,87;Quarto 01;25300,00
