DATA;ID_SENSOR;TimeAtive;TotalGastoWatts
01/01/2025 00:00:00;4;06:17:00;18850
02/01/2025 00:00:00;4;03:42:00;11100
03/01/2025 00:00:00;4;15:37:00;46850
04/01/2025 00:00:00;4;12:35:00;37750
05/01/2025 00:00:00;4;00:16:00;800
06/01/2025 00:00:00;4;21:43:00;65150
07/01/2025 00:00:00;4;07:19:00;21950
08/01/2025 00:00:00;4;01:51:00;5550
09/01/2025 00:00:00;4;10:33:00;31650
10/01/2025 00:00:00;4;10:28:00;31400
11/01/2025 00:00:00;4;19:04:00;57200
12/01/2025 00:00:00;4;16:35:00;49750
13/01/2025 00:00:00;4;08:30:00;25500
14/01/2025 00:00:00;4;17:17:00;51850
15/01/2025 00:00:00;4;10:26:00;31300
16/01/2025 00:00:00;4;15:34:00;46700
17/01/2025 00:00:00;4;12:29:00;37450
18/01/2025 00:00:00;4;13:06:00;39300
19/01/2025 00:00:00;4;10:18:00;30900
20/01/2025 00:00:00;4;04:52:00;14600
21/01/2025 00:00:00;4;18:28:00;55400
22/01/2025 00:00:00;4;11:42:00;35100
23/01/2025 00:00:00;4;13:01:00;39050
24/01/2025 00:00:00;4;13:59:00;41950
25/01/2025 00:00:00;4;14:09:00;42450
26/01/2025 00:00:00;4;15:01:00;45050
27/01/2025 00:00:00;4;15:04:00;45200
28/01/2025 00:00:00;4;18:07:00;54350
29/01/2025 00:00:00;4;17:50:00;53500
30/01/2025 00:00:00;4;18:59:00;56950
31/01/2025 00:00:00;4;14:05:00;42250
01/02/2025 00:00:00;4;15:13:00;45650
02/02/2025 00:00:00;4;12:29:00;37450
03/02/2025 00:00:00;4;11:25:00;34250
04/02/2025 00:00:00;4;09:44:00;29200
05/02/2025 00:00:00;4;14:53:00;44650
06/02/2025 00:00:00;4;14:07:00;42350
07/02/2025 00:00:00;4;16:05:00;48250
08/02/2025 00:00:00;4;12:10:00;36500
09/02/2025 00:00:00;4;08:27:00;25350
10/02/2025 00:00:00;4;16:05:00;48250
11/02/2025 00:00:00;4;13:48:00;41400
12/02/2025 00:00:00;4;13:26:00;40300
13/02/2025 00:00:00;4;10:41:00;32050
14/02/2025 00:00:00;4;13:48:00;41400
15/02/2025 00:00:00;4;21:25:00;64250
16/02/2025 00:00:00;4;18:43:00;56150
17/02/2025 00:00:00;4;03:51:00;11550
18/02/2025 00:00:00;4;13:18:00;39900
19/02/2025 00:00:00;4;09:48:00;29400
20/02/2025 00:00:00;4;07:55:00;23750
21/02/2025 00:00:00;4;13:36:00;40800
22/02/2025 00:00:00;4;12:35:00;37750
23/02/2025 00:00:00;4;19:05:00;57250
24/02/2025 00:00:00;4;14:07:00;42350
25/02/2025 00:00:00;4;19:38:00;58900
26/02/2025 00:00:00;4;02:19:00;6950
