DATA;ID_SENSOR;TimeAtive;TotalGastoWatts
01/01/2025 00:00:00;3;20:34:00;1028,33333333333
02/01/2025 00:00:00;3;08:30:00;425
03/01/2025 00:00:00;3;18:56:00;946,666666666667
04/01/2025 00:00:00;3;04:35:00;229,166666666667
05/01/2025 00:00:00;3;10:54:00;545
06/01/2025 00:00:00;3;14:40:00;733,333333333333
07/01/2025 00:00:00;3;10:39:00;532,5
08/01/2025 00:00:00;3;12:04:00;603,333333333333
09/01/2025 00:00:00;3;03:03:00;152,5
10/01/2025 00:00:00;3;14:15:00;712,5
11/01/2025 00:00:00;3;05:30:00;275
12/01/2025 00:00:00;3;16:00:00;800
13/01/2025 00:00:00;3;21:00:00;1050
14/01/2025 00:00:00;3;18:12:00;910
15/01/2025 00:00:00;3;09:47:00;489,166666666667
16/01/2025 00:00:00;3;01:17:00;64,1666666666667
17/01/2025 00:00:00;3;12:01:00;600,833333333333
18/01/2025 00:00:00;3;09:46:00;488,333333333333
19/01/2025 00:00:00;3;16:55:00;845,833333333333
20/01/2025 00:00:00;3;04:07:00;205,833333333333
21/01/2025 00:00:00;3;18:55:00;945,833333333333
22/01/2025 00:00:00;3;00:30:00;25
24/01/2025 00:00:00;3;16:28:00;823,333333333333
25/01/2025 00:00:00;3;18:50:00;941,666666666667
26/01/2025 00:00:00;3;09:15:00;462,5
27/01/2025 00:00:00;3;08:57:00;447,5
28/01/2025 00:00:00;3;22:43:00;1135,83333333333
29/01/2025 00:00:00;3;09:57:00;497,5
30/01/2025 00:00:00;3;12:13:00;610,833333333333
31/01/2025 00:00:00;3;03:18:00;165
01/02/2025 00:00:00;3;15:33:00;777,5
02/02/2025 00:00:00;3;02:36:00;130
03/02/2025 00:00:00;3;17:20:00;866,666666666667
04/02/2025 00:00:00;3;17:46:00;888,333333333333
05/02/2025 00:00:00;3;06:41:00;334,166666666667
06/02/2025 00:00:00;3;16:18:00;815
07/02/2025 00:00:00;3;15:52:00;793,333333333333
08/02/2025 00:00:00;3;11:09:00;557,5
09/02/2025 00:00:00;3;05:29:00;274,166666666667
10/02/2025 00:00:00;3;17:17:00;864,166666666667
11/02/2025 00:00:00;3;13:01:00;650,833333333333
12/02/2025 00:00:00;3;18:32:00;926,666666666667
13/02/2025 00:00:00;3;09:02:00;451,666666666667
14/02/2025 00:00:00;3;08:46:00;438,333333333333
15/02/2025 00:00:00;3;02:11:00;109,166666666667
16/02/2025 00:00:00;3;10:13:00;510,833333333333
17/02/2025 00:00:00;3;09:01:00;450,833333333333
18/02/2025 00:00:00;3;06:05:00;304,166666666667
