DATA;ID_SENSOR;TimeAtive;TotalGastoWatts
01/01/2025 00:00:00;2;09:09:00;13725
02/01/2025 00:00:00;2;08:33:00;12825
03/01/2025 00:00:00;2;13:17:00;19925
04/01/2025 00:00:00;2;14:10:00;21250
05/01/2025 00:00:00;2;09:25:00;14125
06/01/2025 00:00:00;2;19:48:00;29700
07/01/2025 00:00:00;2;11:53:00;17825
08/01/2025 00:00:00;2;15:03:00;22575
09/01/2025 00:00:00;2;20:53:00;31325
10/01/2025 00:00:00;2;14:02:00;21050
11/01/2025 00:00:00;2;19:20:00;29000
12/01/2025 00:00:00;2;20:43:00;31075
13/01/2025 00:00:00;2;21:36:00;32400
14/01/2025 00:00:00;2;14:52:00;22300
15/01/2025 00:00:00;2;02:53:00;4325
16/01/2025 00:00:00;2;14:01:00;21025
17/01/2025 00:00:00;2;13:23:00;20075
18/01/2025 00:00:00;2;09:27:00;14175
19/01/2025 00:00:00;2;17:15:00;25875
20/01/2025 00:00:00;2;22:44:00;34100
21/01/2025 00:00:00;2;14:10:00;21250
22/01/2025 00:00:00;2;19:32:00;29300
23/01/2025 00:00:00;2;12:53:00;19325
24/01/2025 00:00:00;2;17:59:00;26975
25/01/2025 00:00:00;2;14:56:00;22400
26/01/2025 00:00:00;2;11:49:00;17725
27/01/2025 00:00:00;2;20:42:00;31050
28/01/2025 00:00:00;2;22:00:00;33000
29/01/2025 00:00:00;2;18:44:00;28100
30/01/2025 00:00:00;2;13:50:00;20750
31/01/2025 00:00:00;2;11:57:00;17925
01/02/2025 00:00:00;2;08:33:00;12825
02/02/2025 00:00:00;2;02:29:00;3725
03/02/2025 00:00:00;2;00:59:00;1475
04/02/2025 00:00:00;2;19:53:00;29825
05/02/2025 00:00:00;2;17:31:00;26275
06/02/2025 00:00:00;2;10:50:00;16250
07/02/2025 00:00:00;2;05:30:00;8250
08/02/2025 00:00:00;2;16:39:00;24975
09/02/2025 00:00:00;2;17:08:00;25700
10/02/2025 00:00:00;2;16:42:00;25050
11/02/2025 00:00:00;2;02:06:00;3150
12/02/2025 00:00:00;2;12:15:00;18375
13/02/2025 00:00:00;2;16:06:00;24150
14/02/2025 00:00:00;2;16:02:00;24050
15/02/2025 00:00:00;2;04:08:00;6200
16/02/2025 00:00:00;2;21:46:00;32650
17/02/2025 00:00:00;2;09:00:00;13500
18/02/2025 00:00:00;2;19:06:00;28650
19/02/2025 00:00:00;2;15:38:00;23450
20/02/2025 00:00:00;2;19:20:00;29000
21/02/2025 00:00:00;2;11:21:00;17025
22/02/2025 00:00:00;2;15:10:00;22750
23/02/2025 00:00:00;2;10:53:00;16325
24/02/2025 00:00:00;2;07:41:00;11525
26/02/2025 00:00:00;2;11:44:00;17600
27/02/2025 00:00:00;2;18:36:00;27900
28/02/2025 00:00:00;2;10:03:00;15075
01/03/2025 00:00:00;2;12:51:00;19275
02/03/2025 00:00:00;2;11:07:00;16675
03/03/2025 00:00:00;2;16:00:00;24000
04/03/2025 00:00:00;2;09:53:00;14825
05/03/2025 00:00:00;2;07:04:00;10600
06/03/2025 00:00:00;2;16:50:00;25250
07/03/2025 00:00:00;2;20:51:00;31275
08/03/2025 00:00:00;2;09:56:00;14900
09/03/2025 00:00:00;2;11:38:00;17450
10/03/2025 00:00:00;2;13:58:00;20950
11/03/2025 00:00:00;2;18:15:00;27375
12/03/2025 00:00:00;2;02:22:00;3550
13/03/2025 00:00:00;2;12:21:00;18525
14/03/2025 00:00:00;2;17:33:00;26325
15/03/2025 00:00:00;2;04:28:00;6700
16/03/2025 00:00:00;2;14:58:00;22450
17/03/2025 00:00:00;2;08:10:00;12250
18/03/2025 00:00:00;2;06:52:00;10300
19/03/2025 00:00:00;2;18:10:00;27250
20/03/2025 00:00:00;2;21:21:00;32025
21/03/2025 00:00:00;2;15:45:00;23625
22/03/2025 00:00:00;2;17:23:00;26075
23/03/2025 00:00:00;2;15:58:00;23950
24/03/2025 00:00:00;2;06:11:00;9275
25/03/2025 00:00:00;2;07:53:00;11825
26/03/2025 00:00:00;2;10:30:00;15750
27/03/2025 00:00:00;2;18:12:00;27300
28/03/2025 00:00:00;2;13:23:00;20075
29/03/2025 00:00:00;2;10:01:00;15025
30/03/2025 00:00:00;2;08:31:00;12775
31/03/2025 00:00:00;2;12:37:00;18925
01/04/2025 00:00:00;2;13:01:00;19525
02/04/2025 00:00:00;2;15:50:00;23750
03/04/2025 00:00:00;2;06:53:00;10325
04/04/2025 00:00:00;2;14:59:00;22475
05/04/2025 00:00:00;2;18:16:00;27400
06/04/2025 00:00:00;2;10:19:00;15475
07/04/2025 00:00:00;2;17:45:00;26625
08/04/2025 00:00:00;2;15:23:00;23075
09/04/2025 00:00:00;2;12:49:00;19225
10/04/2025 00:00:00;2;15:14:00;22850
12/04/2025 00:00:00;2;03:13:00;4825
13/04/2025 00:00:00;2;03:10:00;4750
14/04/2025 00:00:00;2;11:13:00;16825
15/04/2025 00:00:00;2;13:09:00;19725
16/04/2025 00:00:00;2;01:24:00;2100
17/04/2025 00:00:00;2;05:26:00;8150
18/04/2025 00:00:00;2;14:14:00;21350
19/04/2025 00:00:00;2;03:27:00;5175
20/04/2025 00:00:00;2;14:03:00;21075
21/04/2025 00:00:00;2;11:52:00;17800
22/04/2025 00:00:00;2;17:25:00;26125
23/04/2025 00:00:00;2;18:17:00;27425
24/04/2025 00:00:00;2;02:41:00;4025
25/04/2025 00:00:00;2;09:33:00;14325
26/04/2025 00:00:00;2;13:40:00;20500
27/04/2025 00:00:00;2;11:55:00;17875
28/04/2025 00:00:00;2;05:33:00;8325
29/04/2025 00:00:00;2;10:04:00;15100
30/04/2025 00:00:00;2;16:40:00;25000
01/05/2025 00:00:00;2;18:48:00;28200
02/05/2025 00:00:00;2;19:50:00;29750
03/05/2025 00:00:00;2;07:19:00;10975
04/05/2025 00:00:00;2;03:20:00;5000
05/05/2025 00:00:00;2;19:23:00;29075
06/05/2025 00:00:00;2;08:13:00;12325
07/05/2025 00:00:00;2;06:01:00;9025
08/05/2025 00:00:00;2;15:56:00;23900
09/05/2025 00:00:00;2;16:21:00;24525
10/05/2025 00:00:00;2;19:02:00;28550
11/05/2025 00:00:00;2;15:32:00;23300
12/05/2025 00:00:00;2;14:50:00;22250
13/05/2025 00:00:00;2;03:09:00;4725
14/05/2025 00:00:00;2;10:09:00;15225
15/05/2025 00:00:00;2;04:34:00;6850
